stem,variant,system,dataset,sample_id,hop,wait_us,compute_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,1,143.360000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,2,194.560000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,3,149.504000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,4,141.312000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,5,94.208000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,6,218.112000,23.552000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,7,125.952000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,8,120.832000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,9,121.856000,31.744000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,10,154.624000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,11,132.096000,22.528000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,12,146.432000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,13,184.320000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,14,132.096000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,15,118.784000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,16,119.808000,27.648000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,17,171.008000,30.720000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,18,162.816000,26.624000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,19,110.592000,29.696000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,20,151.552000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,21,159.744000,32.768000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,22,128.000000,33.792000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,23,95.232000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,10526,24,125.952000,28.672000
